code,station,time,title
RB,Rádio Beat,2022-01-14 18:35:03,THIN LIZZY - THE BOYS ARE BACK IN TOWN
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:35:03,Twilight Force - (07) Forest Of Destiny
MH,Metal Heart Radio,2022-01-14 18:35:04,359. Black Sabbath - Falling Off the Edge of the World
RB,Rádio Beat,2022-01-14 18:37:33,MICHAL PROKOP & FRAMUS 5 - STARA PISEN
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:37:49,Van Canto - (07) Last Night of the Kings
MH,Metal Heart Radio,2022-01-14 18:38:34,149. Judas Priest - Sinner
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:41:34,Epica - (10) Deconstruct
RB,Rádio Beat,2022-01-14 18:42:02,FREE - ALL RIGHT NOW
MH,Metal Heart Radio,2022-01-14 18:45:04,090. Led Zeppelin - Rock and Roll
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:45:48,Dark Moor - (08) Mio Cid
RB,Rádio Beat,2022-01-14 18:48:02,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-01-14 18:48:48,403. Metallica - Hit the Lights
RB,Rádio Beat,2022-01-14 18:49:19,MOTT THE HOOPLE - ALL THE YOUNG DUDES
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:52:19,Nox Arcana - (06) Into the Shadows
RB,Rádio Beat,2022-01-14 18:53:02,RAMMSTEIN - AMERIKA
MH,Metal Heart Radio,2022-01-14 18:53:04,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 18:53:20,416. Witchfinder General - Witchfinder General
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:55:19,Endless Main - (06) Fall
RB,Rádio Beat,2022-01-14 18:57:02,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-01-14 18:57:03,490. Deep Purple - Stormbringer
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 18:59:33,Rhapsody - (08) On The Way To Ainor
RB,Rádio Beat,2022-01-14 19:00:47,WHITESNAKE - HERE I GO AGAIN
MH,Metal Heart Radio,2022-01-14 19:01:04,303. Testament - D.N.R. (Do Not Resuscitate)
RB,Rádio Beat,2022-01-14 19:04:32,TRI SESTRY - ZELENA
MH,Metal Heart Radio,2022-01-14 19:04:34,023. AC-DC - Highway to Hell
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:06:36,Salamandra - (08) Victorious
RB,Rádio Beat,2022-01-14 19:07:50,JOHN LENNON - WORKING CLASS HERO
MH,Metal Heart Radio,2022-01-14 19:08:04,225. Saxon - Princess of the Night
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:10:36,Lunatica - (07) The Neverending Story
RB,Rádio Beat,2022-01-14 19:11:19,IRAS - SAMI MAME MALO
MH,Metal Heart Radio,2022-01-14 19:12:04,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 19:12:20,250. Mercyful Fate - Satan's Fall
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:16:03,XIII stoleti - (05) Ruze a kriz
RB,Rádio Beat,2022-01-14 19:16:33,METALLICA - THE UNFORGIVEN
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:21:49,Without Face - (04) The Violin Of Erich Zann
RB,Rádio Beat,2022-01-14 19:22:38,WIZARD - JA MAM MOTORKU
MH,Metal Heart Radio,2022-01-14 19:23:34,026. Accept - Balls to the Wall
RB,Rádio Beat,2022-01-14 19:26:32,SCORPIONS - WIND OF CHANGE
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:29:02,HB - (09) Away From Home
MH,Metal Heart Radio,2022-01-14 19:29:19,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-01-14 19:29:34, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-01-14 19:30:04,? - Metal_Heart_Radio_-_Jingle_Hudebn__Sv_t
MH,Metal Heart Radio,2022-01-14 19:30:19,067. Metallica - Battery
RB,Rádio Beat,2022-01-14 19:31:37,TRAUTENBERK - JARA UMI SIT
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:33:20,Nightwish - (11) Dead Boy's Poem
RB,Rádio Beat,2022-01-14 19:34:33,SWEET - LOVE IS LIKE OXYGEN
MH,Metal Heart Radio,2022-01-14 19:35:38,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 19:35:53,Eagleheart - Moment of Life
RB,Rádio Beat,2022-01-14 19:38:18,LIDOPOP - BONNEVILLE
MH,Metal Heart Radio,2022-01-14 19:39:18,Loretta - Metalová holka
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:40:02,Twisted Sister - (07) Under the Blade
RB,Rádio Beat,2022-01-14 19:42:35,AC/DC - HIGHWAY TO HELL
MH,Metal Heart Radio,2022-01-14 19:43:06,Nazgul - Jiskra &amp;#38
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:44:34,Rhapsody of Fire - (01) Abyss of Pain
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:45:33,Tragodia - (06) Iceberg
RB,Rádio Beat,2022-01-14 19:46:26,BRUTUS - PUJDEME SPOLU DO NEBE
MH,Metal Heart Radio,2022-01-14 19:46:45,? - Metal_Heart_-_Hey_Headbangers
MH,Metal Heart Radio,2022-01-14 19:47:19,Metal Heart Radio - Metal Live EN
MH,Metal Heart Radio,2022-01-14 19:47:34,Zmarchrob - Pýcha
MH,Metal Heart Radio,2022-01-14 19:48:53,Britny Fox - Long Way To Love
RB,Rádio Beat,2022-01-14 19:50:03,AEROSMITH - WALK THIS WAY
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:50:03,Howling Syn - (07) Vampyra's Symphony
MH,Metal Heart Radio,2022-01-14 19:50:50,Zmarchrob - Pýcha
MH,Metal Heart Radio,2022-01-14 19:51:04,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 19:51:21,Seven - Plá&amp;#26
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:53:18,Y and T - (02) Straight Thru The Heart
RB,Rádio Beat,2022-01-14 19:53:33,ALES BRICHTA - NEMAM
MH,Metal Heart Radio,2022-01-14 19:56:05,Within Silence - Heroes Must Return
RB,Rádio Beat,2022-01-14 19:57:32,Radio BEAT - Classic Rock
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 19:57:34,Fortaleza - (05) La Mulata
RB,Rádio Beat,2022-01-14 20:01:02,QUEEN - HAMMER TO FALL
MH,Metal Heart Radio,2022-01-14 20:01:06,? - Jingle_Cesta_kolem_sveta_long
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:01:36,Xandria - (12) Sweet Atonement
MH,Metal Heart Radio,2022-01-14 20:02:04,Black Sabbaka - Moda od Quasimoda
RB,Rádio Beat,2022-01-14 20:05:19,IVAN HLAS - PANI BALOGHOVA
MH,Metal Heart Radio,2022-01-14 20:05:20,Loretta - Metalová holka
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:05:51,Arven - (12) Black Is The Colour (Bonus Track)
RB,Rádio Beat,2022-01-14 20:08:35,LED ZEPPELIN - IMMIGRANT SONG
MH,Metal Heart Radio,2022-01-14 20:09:04,Within Silence - Return From The Shadows 
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:09:35,Witch Hammer - (10) Princess of desire
RB,Rádio Beat,2022-01-14 20:11:03,HARLEJ - POVESTE HO VEJS
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:14:54,XIII stoleti - (06) Upir s houslemi
RB,Rádio Beat,2022-01-14 20:15:33,POLICE - DE DO DO DO DE DA DA DA
MH,Metal Heart Radio,2022-01-14 20:19:06,Nazgul - Vlkodlak
MH,Metal Heart Radio,2022-01-14 20:19:13,Nazgul - Vlkodlak
RB,Rádio Beat,2022-01-14 20:19:37,"WANASTOWI VJECY - LZI, SEX & PRACHY"
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:20:59,Sopor Aeternus - (03) Shadowsphere
RB,Rádio Beat,2022-01-14 20:23:02,STATUS QUO - IN THE ARMY NOW
MH,Metal Heart Radio,2022-01-14 20:23:22,Black Sabbaka - Ledova ruze
MH,Metal Heart Radio,2022-01-14 20:27:19,Dying Passion - Black Threads
RB,Rádio Beat,2022-01-14 20:27:32,DE BILL HEADS - RYBA SE MA
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:28:34,Aeternitas - (01) The Tell-Tale Heart
RB,Rádio Beat,2022-01-14 20:30:32,SURVIVOR - EYE OF THE TIGER
MH,Metal Heart Radio,2022-01-14 20:31:35,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-01-14 20:31:51, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-01-14 20:32:21,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 20:32:37,Perseus - Vizioná&amp;#34
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:32:51,After Forever - (04) Emphasis
RB,Rádio Beat,2022-01-14 20:34:34,WALK CHOC ICE - REJDIT
MH,Metal Heart Radio,2022-01-14 20:35:51,Britny Fox - Long Way To Love
MH,Metal Heart Radio,2022-01-14 20:36:55,Ybca - Rum-cajs
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:37:02,XIII stoleti - (03) Justina
RB,Rádio Beat,2022-01-14 20:38:02,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-01-14 20:38:17,SUZI QUATRO - CAN THE CAN
MH,Metal Heart Radio,2022-01-14 20:40:03,Erin - Overture
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:40:50,Van Canto - (02) Kings Of Metal
RB,Rádio Beat,2022-01-14 20:41:49,ROXOR - KRIZOVA VYPRAVA
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:44:34,Metalwings - (12) Fallen Angel in the Hell (Instrumental Version)
MH,Metal Heart Radio,2022-01-14 20:44:35,Cycles Of Revocation - Predestination
RB,Rádio Beat,2022-01-14 20:46:19,ROLLING STONES - SATISFACTION
MH,Metal Heart Radio,2022-01-14 20:47:54,Britny Fox - Long Way To Love
MH,Metal Heart Radio,2022-01-14 20:48:48,Poppy Seed Grinder - Retribution
RB,Rádio Beat,2022-01-14 20:50:02,DOGA - NEJSI NEVINNÁ
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:50:35,Endless - (03) Where Do Dreams Go When They Die
MH,Metal Heart Radio,2022-01-14 20:51:35,Britny Fox - Long Way To Love
MH,Metal Heart Radio,2022-01-14 20:51:50,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-01-14 20:52:03,Pa&amp;#26
RB,Rádio Beat,2022-01-14 20:54:17,JJ CALE - COCAINE
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 20:55:04,Symphonity - (09) Unwelcome
RB,Rádio Beat,2022-01-14 20:57:24,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-01-14 21:00:05,? - Metal_Heart_Radio_-_Jingle_Hudebn__Sv_t
RB,Rádio Beat,2022-01-14 21:00:21,DEF LEPPARD - ACTION
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:00:21,Tarja Turunen - (09) Mokit Nukkuu Lumiset
MH,Metal Heart Radio,2022-01-14 21:00:22,Eagleheart - Creator of Time
RB,Rádio Beat,2022-01-14 21:04:03,SKWOR - SÍLA STAREJCH VÍN
MH,Metal Heart Radio,2022-01-14 21:04:05,Bathory - One Rode To Asa Bay
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:04:37,Sopor Aeternus - (07) The Devil's Instrument
RB,Rádio Beat,2022-01-14 21:06:51,DEEP PURPLE - BLACK NIGHT
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:09:52,Dark Moor - (01) In The Heart Of Stone
RB,Rádio Beat,2022-01-14 21:10:17,KRLES - KRAV'N'ROLL
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:14:19,Synful Ira - (10)  New Love
MH,Metal Heart Radio,2022-01-14 21:14:34,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 21:14:58,Five Finger Death Punch - Burn MF
RB,Rádio Beat,2022-01-14 21:16:20,BEATLES - COME TOGETHER
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:17:50,After Forever - (11) Dreamflight
MH,Metal Heart Radio,2022-01-14 21:18:20,"474 - THERION - The Quiet Desert (Original Soundtrack) [A'arab Zaraq Lucid Dreaming, 1997]"
RB,Rádio Beat,2022-01-14 21:20:21,SPS - CONNIE RAMONE
MH,Metal Heart Radio,2022-01-14 21:22:05,"383 - AXEL RUDI PELL - Haunted Castle Serenade (Opus #4 Grazioso E Agresso) (instrumental) [Mystica, 2006]"
RB,Rádio Beat,2022-01-14 21:24:02,BOSTON - MORE THAN A FEELING
MH,Metal Heart Radio,2022-01-14 21:25:51,Possessed - No More Room In Hell
RB,Rádio Beat,2022-01-14 21:28:33,KRAUSBERRY - HYMNA OSADY BOBRU
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:28:52,Sopor Aeternus - (03) Black Magic Spell
MH,Metal Heart Radio,2022-01-14 21:30:37,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-01-14 21:30:53, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-01-14 21:31:18,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-01-14 21:31:50,HammerFall - Hammer High
RB,Rádio Beat,2022-01-14 21:32:21,URIAH HEEP - AGAINST THE ODDS
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:34:34,Midnattsol - (11) Tapt Av Hap
MH,Metal Heart Radio,2022-01-14 21:36:19,Stratovarius - Hunting High And Low
RB,Rádio Beat,2022-01-14 21:38:19,MILOS DODO DOLEZAL - SOUDIM
MH,Metal Heart Radio,2022-01-14 21:39:53,Rainbow - Man On The Silver Mountain
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:42:20,Age Of Artemis - (03) Helping Hand
RB,Rádio Beat,2022-01-14 21:43:17,STEPPENWOLF - BORN TO BE WILD
MH,Metal Heart Radio,2022-01-14 21:44:22,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-01-14 21:44:38,? - Metal_Heart_-_Hey_Headbangers
MH,Metal Heart Radio,2022-01-14 21:44:55,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-01-14 21:45:04,Metal Heart Radio - Metal Live EN
MH,Metal Heart Radio,2022-01-14 21:45:19,Orden Ogan - The Things We Believe In
RB,Rádio Beat,2022-01-14 21:46:33,TUBLATANKA - DNES
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:48:19,Antillia - (06) Prisoner by the Immortality
MH,Metal Heart Radio,2022-01-14 21:50:21,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-01-14 21:50:38,"04 - RHAPSODY - Wings Of Destiny [Symphony Of Enchanted Lands, 1998]"
RB,Rádio Beat,2022-01-14 21:51:33,LYNYRD SKYNYRD - SWEET HOME ALABAMA
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:53:02,Asriel - (11) Altair
MH,Metal Heart Radio,2022-01-14 21:55:04,Uriah Heep - Grazed By Heaven
RB,Rádio Beat,2022-01-14 21:56:02,KING CRIMSON - THREE OF PERFECT PAIR
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 21:57:49,Twisted Sister - (09) Youre Not Alone (Suzettes Song)
MH,Metal Heart Radio,2022-01-14 21:59:38,? - Jingle_Cesta_kolem_sveta_long
RB,Rádio Beat,2022-01-14 22:00:33,JUDAS PRIEST - LIVING AFTER MIDNIGHT
MH,Metal Heart Radio,2022-01-14 22:00:35,Finntroll - Blodsvept
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:01:50,Rimortis - (106)  Kletba rodu
RB,Rádio Beat,2022-01-14 22:03:49,ZVLASNY SKOLA - ZAMECEK
MH,Metal Heart Radio,2022-01-14 22:05:03,Kern - To jsme my
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:06:03,Highland Glory - (04) Without you
RB,Rádio Beat,2022-01-14 22:08:17,KISS - DETROIT ROCK CITY
MH,Metal Heart Radio,2022-01-14 22:09:50,Helloween - Dr. Stein
RB,Rádio Beat,2022-01-14 22:11:47,METALINDA - ENGLISH IS HOW KNOW
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:12:03,Van Canto - (08) Starlight
MH,Metal Heart Radio,2022-01-14 22:13:53,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 22:14:08,Twisted Sister - The Price
RB,Rádio Beat,2022-01-14 22:14:51,QUEEN - WE ARE THE CHAMPIONS
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:16:32,Rhapsody - (01) Lux Triumphans
RB,Rádio Beat,2022-01-14 22:17:47,LUCIE - CERNI ANDELE
MH,Metal Heart Radio,2022-01-14 22:17:48,"132 - ACCEPT - Seawinds [Accept, 1979]"
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:18:34,As Angels Bleed - (08) Bloody Kisses
RB,Rádio Beat,2022-01-14 22:21:33,LED ZEPPELIN - STAIRWAY TO HEAVEN
MH,Metal Heart Radio,2022-01-14 22:22:19,Volbeat/Jacob Hansen/Rob Caggiano/Michael Poulsen/Jon Larsen/Kaspar Boye Larsen/Gary Holt - Cheapside Sloggers
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:23:41,HIM - (01) And Love Said No
MH,Metal Heart Radio,2022-01-14 22:26:03,"209 - ACCEPT - Can't Stand The Night [Breaker, 1981]"
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:27:55,Bast - (01) Chram
RB,Rádio Beat,2022-01-14 22:29:51,TLUSTA BERTA - VODACI
MH,Metal Heart Radio,2022-01-14 22:31:33,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-01-14 22:31:48, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-01-14 22:32:19,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 22:32:33,"195 - AT VANCE - Wings To Fly [Only Human, 2002]"
RB,Rádio Beat,2022-01-14 22:33:35,CREEDENCE CLEARWATER REVIVAL - DOWN ON THE CORNER
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:33:51,Metalwings - (06) There's No Time
RB,Rádio Beat,2022-01-14 22:36:02,LIMETAL - FEME FATALE
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:38:18,Black Sabbath - (08) Falling Off the Edge of the World
MH,Metal Heart Radio,2022-01-14 22:39:04,Accept - Restless and Wild (Live in Wacken 2017)
RB,Rádio Beat,2022-01-14 22:40:03,Radio BEAT - Classic Rock
RB,Rádio Beat,2022-01-14 22:40:20,BRUCE SPRINGSTEEN - BORN IN THE U.S.A.
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:43:20,Catafalque - (08) Butterfly Inside
MH,Metal Heart Radio,2022-01-14 22:43:37,"107 - GAMMA RAY - The Silence [Heading For Tomorrow, 1990]"
RB,Rádio Beat,2022-01-14 22:44:47,KOMUNALNI ODPAD - MAM MALY PJUT
RB,Rádio Beat,2022-01-14 22:47:17,BRYAN ADAMS - SUMMER OF 69
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:48:35,Rhapsody - (02) Warrior Of Ice
MH,Metal Heart Radio,2022-01-14 22:49:49,Motley Crue - Time For Change
RB,Rádio Beat,2022-01-14 22:50:35,ODYSSEA - PRÁSKAČ
RB,Rádio Beat,2022-01-14 22:54:17,U2 - I STILL HAVEN'T FOUND WHAT I'M LOOKING FOR
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:54:34,Epica - (04) Solitary Ground
MH,Metal Heart Radio,2022-01-14 22:54:49,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-01-14 22:55:05,Candlemass - At the Gallow's End
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 22:58:50,Nightwish - (13) Walking in the Air
RB,Rádio Beat,2022-01-14 22:59:03,ALICE COOPER - ELECTED
MH,Metal Heart Radio,2022-01-14 23:00:35,Magnus Karlsson's Free Fall - Last Tribe
RB,Rádio Beat,2022-01-14 23:02:47,ALKEHOL - PODBABSKEJ STANEK
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:04:03,Beseech - (11) Manmade Dreams (re-make)
RB,Rádio Beat,2022-01-14 23:05:02,SLADE - MY OH MY
MH,Metal Heart Radio,2022-01-14 23:05:34,Uriah Heep - Knocking At My Door
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:08:38,Sopor Aeternus - (16) This Profane Finality
RB,Rádio Beat,2022-01-14 23:09:03,SLOBODNA EUROPA - RUZE Z TEXASU
MH,Metal Heart Radio,2022-01-14 23:10:19,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 23:10:34,"360 - EDGUY - Tomorrow [Vain Glory Opera, 1998]"
RB,Rádio Beat,2022-01-14 23:12:47,OZZY OSBOURNE - FLYING HIGH AGAIN
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:13:03,Y and T - (02) Straight Thru The Heart
MH,Metal Heart Radio,2022-01-14 23:14:35,Moonspell - Opium
RB,Rádio Beat,2022-01-14 23:17:03,DIVOKEJ BILL - PLAKALA
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:17:18,Salamandra - (07) Lost Life
MH,Metal Heart Radio,2022-01-14 23:17:19,Europe - Tomorrow
RB,Rádio Beat,2022-01-14 23:20:02,BEATLES - MICHELLE
MH,Metal Heart Radio,2022-01-14 23:20:19,Britny Fox - Girlschool
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:21:18,Aeternitas - (07) Kardinal
RB,Rádio Beat,2022-01-14 23:22:49,JAREK FILGAS BAND - NEDAM SI RICT
MH,Metal Heart Radio,2022-01-14 23:24:34,Kern - To jsme my
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:25:03,Nox Arcana - (20) Cthulhu Rising
RB,Rádio Beat,2022-01-14 23:26:48,ROLLING STONES - LIKE A ROLLING STONE
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:27:49,Epica - (08) The Cosmic Algorithm
MH,Metal Heart Radio,2022-01-14 23:29:35,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-01-14 23:29:50, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-01-14 23:30:19,"500 - YNGWIE J. MALMSTEEN - Sorrow (instrumental) [The Seventh Sign, 1994]"
RB,Rádio Beat,2022-01-14 23:31:03,KABAT - CENTRYFUGA
MH,Metal Heart Radio,2022-01-14 23:32:19,Metal Heart Radio - Jingle
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:32:33,Sirenia - (10) Fifth Column
MH,Metal Heart Radio,2022-01-14 23:32:34,"429 - BLIND GUARDIAN - Skalds And Shadows [A Twist In The Myth, 2006]"
RB,Rádio Beat,2022-01-14 23:35:02,GENESIS - JESUS HE KNOWS ME
MH,Metal Heart Radio,2022-01-14 23:35:49,"422 - REINXEED - Second Chance [Majestic, 2010]"
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:38:35,Serenity - (04) Circle Of My 2nd Life
RB,Rádio Beat,2022-01-14 23:39:02,DYMYTRY - STRAŽNA VĚŽ
MH,Metal Heart Radio,2022-01-14 23:40:49,"75 - SONATA ARCTICA - Tallulah [Silence, 2001]"
RB,Rádio Beat,2022-01-14 23:42:17,PINK FLOYD - MONEY
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:44:05,Celestial Decay - (14) Final Night - Act I - The Beginning...
MH,Metal Heart Radio,2022-01-14 23:46:05,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-01-14 23:46:20,? - Metal_Heart_-_Hey_Headbangers
MH,Metal Heart Radio,2022-01-14 23:46:36,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-01-14 23:46:51,Metal Heart Radio - Metal Live EN
MH,Metal Heart Radio,2022-01-14 23:47:04,"120 - YNGWIE J. MALMSTEEN - Like An Angel [Facing The Animal, 1997]"
RB,Rádio Beat,2022-01-14 23:48:49,NOVA RUZE - TEN STROJ SEŠ TY
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:51:03,Twilight Force - (10) Sword Of Magic Steel
RB,Rádio Beat,2022-01-14 23:52:02,SANTANA - EUROPA (EARTH'S CRY HEAVEN'S SMILE)
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:52:18,Catafalque - (07) Crimson Dust
MH,Metal Heart Radio,2022-01-14 23:52:49,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-14 23:53:04,"195 - AT VANCE - Wings To Fly [Only Human, 2002]"
MHSC,Metal Heart Radio - Soft Channel,2022-01-14 23:56:17,Lunatica - (06) The Spell
RB,Rádio Beat,2022-01-14 23:57:18,VAN HALEN - DANCE THE NIGHT AWAY
MH,Metal Heart Radio,2022-01-14 23:59:34,? - Jingle_Cesta_kolem_sveta_long
RB,Rádio Beat,2022-01-15 00:00:17,JIMI HENDRIX - BOLD AS LOVE
MH,Metal Heart Radio,2022-01-15 00:00:33,Alice Cooper - It's Me
MHSC,Metal Heart Radio - Soft Channel,2022-01-15 00:01:03,Black Sabbath - (02) Stonehenge
MHSC,Metal Heart Radio - Soft Channel,2022-01-15 00:02:50,XIII stoleti - (06) Testament
RB,Rádio Beat,2022-01-15 00:04:18,ERIC CLAPTON - LAYLA.
MH,Metal Heart Radio,2022-01-15 00:05:04,SlipKnot - Psychosocial
RB,Rádio Beat,2022-01-15 00:08:49,AEROSMITH - BEAUTIFUL
MH,Metal Heart Radio,2022-01-15 00:09:50,Bonfire - Friends
MHSC,Metal Heart Radio - Soft Channel,2022-01-15 00:10:19,Ensiferum - (02) In My Sword I Trust
RB,Rádio Beat,2022-01-15 00:11:47,EDDIE MONEY - TWO TICKETS TO PARADISE
MHSC,Metal Heart Radio - Soft Channel,2022-01-15 00:15:32,XIII Stoleti - (01) Royale Carpathia
MH,Metal Heart Radio,2022-01-15 00:15:33,Metal Heart Radio - Jingle
RB,Rádio Beat,2022-01-15 00:15:47,BSP - HOLKA ČAPNI DRAKA
MH,Metal Heart Radio,2022-01-15 00:15:48,Vitacit - Zvony
MHSC,Metal Heart Radio - Soft Channel,2022-01-15 00:16:20,Winterstorm - (07) Climb The Highest Mountain
RB,Rádio Beat,2022-01-15 00:19:32,BSP - ON THE BORDER
MH,Metal Heart Radio,2022-01-15 00:19:48,Temperance - Unspoken Words
MHSC,Metal Heart Radio - Soft Channel,2022-01-15 00:21:19,Epica - (08) Living A Lie - The Embrace That Smothers Part VIII
RB,Rádio Beat,2022-01-15 00:22:47,ALANIS MORISSETTE - KING OF PAIN
MH,Metal Heart Radio,2022-01-15 00:23:52,"130 - SONATA ARCTICA - Letter To Dana [Ecliptica, 1999]"
MHSC,Metal Heart Radio - Soft Channel,2022-01-15 00:26:19,After Forever - (05) Being Everyone
RB,Rádio Beat,2022-01-15 00:26:48,DEEP PURPLE - LAZY
MHSC,Metal Heart Radio - Soft Channel,2022-01-15 00:29:49,Cinnamun Beloved - (03) Ride the Night
MH,Metal Heart Radio,2022-01-15 00:29:49,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-01-15 00:30:03, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-01-15 00:30:33,Metal Heart Radio - Jingle
MH,Metal Heart Radio,2022-01-15 00:30:48,Avantasia - Lost In Space
RB,Rádio Beat,2022-01-15 00:33:47,CREEDENCE CLEARWATER REVIVAL - HEY TONIGHT
MHSC,Metal Heart Radio - Soft Channel,2022-01-15 00:33:48,Symphonity - (01) La Morale Dell' Immorale
MH,Metal Heart Radio,2022-01-15 00:34:37,Ensiferum - Way of the Warrior
