code,station,time,title
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:01:03,Catafalque - (07) Crimson Dust
MH,Metal Heart Radio,2022-02-04 13:01:18,Black Label Society - 06 - Ruins
RB,Rádio Beat,2022-02-04 13:03:47,QUEEN - PRINCES OF THE UNIVERSE
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:05:04,Beseech - (08) Universe
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:06:32,Beseech - (04) Forever Falling
MH,Metal Heart Radio,2022-02-04 13:07:03,Cynic - 04 Elements and Their Inhabitants
RB,Rádio Beat,2022-02-04 13:07:31,HARRY NILSSON - EVERYBODY´S TALKIN´
RB,Rádio Beat,2022-02-04 13:10:03,IRON MAIDEN - FEAR OF THE DARK
MH,Metal Heart Radio,2022-02-04 13:10:04,Kissin' Dynamite - 08. No One Dies a Virgin
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:11:17,Hysteria - (01) Ruska Ruleta
MH,Metal Heart Radio,2022-02-04 13:14:18,METAL HEART RADIO - MHRs
MH,Metal Heart Radio,2022-02-04 13:14:48,Skillet - 07. Refuge
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:16:18,Deathstars - (13) Blitzkrieg (Driven On Remix)
RB,Rádio Beat,2022-02-04 13:17:32,PINK FLOYD - ANOTHER BRICK IN THE WALL
MH,Metal Heart Radio,2022-02-04 13:18:04,Lordi - 10 - Cinder Ghost Choir
RB,Rádio Beat,2022-02-04 13:21:02,KRAUSBERRY - POSELSTVI STESTI
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:21:34,Nightwish - (09) The Pharao Sails to Orion
MH,Metal Heart Radio,2022-02-04 13:24:04,Kissin' Dynamite - 02. What Goes Up
RB,Rádio Beat,2022-02-04 13:25:48,Radio BEAT - Classic Rock
MH,Metal Heart Radio,2022-02-04 13:27:49,Cynic - 18 Ec-ka72
MHSC,Metal Heart Radio - Soft Channel,2022-02-04 13:28:04,Bast - (06) Peklo je v nas
RB,Rádio Beat,2022-02-04 13:28:33,SEX PISTOLS - ANARCHY IN THE UK
MH,Metal Heart Radio,2022-02-04 13:28:35,Metal Heart Radio - Metal Live CZ
MH,Metal Heart Radio,2022-02-04 13:28:49, - Ranní sprcha - spot
MH,Metal Heart Radio,2022-02-04 13:29:19,Serious Black - 04 Senso Della Vita
